Product ID,Product Name,Category,Meta Title,Meta Description,Primary Keyword,Secondary Keywords,Slug,Image Alt Text,Tags,Product Type,SEO Category
1,Organic Potting Mix for Indoor Plants,Soil Mixes,Organic Potting Mix for Indoor Plants — Whole Lot of Nature,"Premium organic potting mix for indoor plants. Improves drainage, retains moisture, and supports healthy root growth. Perfect for pots & balcony gardens.",organic potting mix for indoor plants,potting soil for houseplants|indoor plant mix|organic potting soil India,organic-potting-mix-indoor-plants,Organic potting mix for indoor plants — Whole Lot of Nature,soil|potting mix|organic|indoor|drainage,growing_medium,soil-mixes
2,Succulent Potting Mix,Soil Mixes,Succulent Potting Mix — Fast-Draining Soil for Cacti & Succulents,"Specially blended succulent potting mix for excellent drainage and root health. Prevents root rot — ideal for cacti, haworthia, jade & aloe.",succulent potting mix,cactus soil mix|fast draining potting mix|best soil for succulents,succulent-potting-mix,Succulent potting mix for cacti and succulents,soil|potting mix|succulent|cactus|drainage|fast-draining,growing_medium,soil-mixes
3,Cinder (Lava Rocks),Soil Mixes,Cinder Lava Rocks (2–4mm) — Soil Aeration Aggregate,Lightweight cinder (lava rocks) for improved aeration and drainage. Use as top layer or mix into potting soil to prevent waterlogging.,cinder lava rocks,lava rock for plants|soil aeration aggregate|volcanic rocks for gardening,cinder-lava-rocks-2-4mm,Cinder lava rocks 2–4mm for soil drainage,soil|aeration|drainage|aggregate|cinder|lava rocks,soil_amendment,soil-mixes
4,Organic Cocopeat (Uncompressed),Soil Mixes,Organic Cocopeat (Loose) — Water-Retaining Growing Medium,"Washed organic cocopeat (loose) for seed starting, potting mixes, and moisture retention. Eco-friendly alternative to peat moss.",organic cocopeat loose,cocopeat for plants|coconut coir for gardening|soil conditioner cocopeat,organic-cocopeat-loose,Organic cocopeat loose for potting mixes,soil|cocopeat|organic|moisture-retaining|eco-friendly|coir,growing_medium,soil-mixes
5,Organic Leaf Compost,Soil Mixes,Organic Leaf Compost — Natural Soil Enricher & Fertility Boost,"Rich leaf compost made from decomposed leaves. Improves soil structure, microbial life and moisture retention — 100% natural.",organic leaf compost,leaf mould compost|natural compost for plants|organic soil amendment,organic-leaf-compost,Organic leaf compost for garden and potted plants,soil|compost|organic|soil amendment|fertility|natural,soil_amendment,soil-mixes
6,Guppy Grass (Najas guadalupensis),Aquatic Plants,Guppy Grass (Najas) — Fast-Growing Aquarium Plant,"Guppy Grass for aquariums — fast-growing cover plant that provides shelter, oxygenation, and natural filtration for community tanks.",guppy grass aquarium plant,Najas guadalupensis|aquarium cover plants|live aquarium plants India,guppy-grass-najas,Guppy Grass (Najas) aquarium plant,aquatic|aquarium plants|fast-growing|cover plant|oxygenation,aquatic_plant,aquatic-plants
7,Asian Marshweed (Hygrophila polysperma),Aquatic Plants,Asian Marshweed (Hygrophila) — Hardy Aquatic Plant for Tanks,"Hygrophila (Asian Marshweed) — hardy, fast-growing aquarium plant. Ideal for beginners and planted tanks, provides oxygen and shelter.",asian marshweed aquatic plant,hygrophila polysperma|beginner aquarium plants|aquarium greenery,asian-marshweed-hygrophila,Asian Marshweed (Hygrophila polysperma) aquatic plant,aquatic|aquarium plants|beginner-friendly|hardy|oxygenation,aquatic_plant,aquatic-plants
8,Indian Brahmi (Bacopa monnieri),Aquatic Plants,Indian Brahmi (Bacopa monnieri) — Aquatic Medicinal Herb & Aquarium Cover,Indian Brahmi (Bacopa) — hardy aquatic herb used in aquariums and Ayurvedic home gardens. Great for oxygenating water and creating lush cover.,indian brahmi bacopa monnieri,bacopa aquatic plant|brahmi aquarium plant|ayurvedic aquatic herb,indian-brahmi-bacopa,Indian Brahmi (Bacopa monnieri) aquatic plant,aquatic|aquarium plants|medicinal|ayurvedic|hardy,aquatic_plant,aquatic-plants
9,Mexican Sword Plant (Echinodorus spp.),Aquatic Plants,Mexican Sword Plant — Aquarium Centerpiece Plant (Echinodorus),Mexican Sword Plant (Echinodorus) — bold aquarium centerpiece with long green leaves. Perfect for background planting and aquascapes.,mexican sword plant echinodorus,echinodorus amazonicus|aquarium centerpiece plant|aquascaping plants,mexican-sword-plant-echinodorus,Mexican Sword Plant (Echinodorus) aquarium centerpiece,aquatic|aquarium plants|centerpiece|aquascaping|background plant,aquatic_plant,aquatic-plants
10,Mexican Pennywort (Hydrocotyle leucocephala),Aquatic Plants,Mexican Pennywort — Trailing Aquarium & Ponds Plant,Mexican Pennywort (Hydrocotyle) — decorative round-leaf aquatic plant for aquariums and ponds. Fast-growing and versatile in aquascapes.,mexican pennywort hydrocotyle,hydrocotyle leucocephala|aquarium foreground plant|aquatic trailing plant,mexican-pennywort-hydrocotyle,Mexican Pennywort (Hydrocotyle leucocephala) aquatic plant,aquatic|aquarium plants|trailing|foreground|fast-growing,aquatic_plant,aquatic-plants
11,Brahmi (Bacopa),Aquatic Plants,Brahmi (Bacopa) — Aquatic Herb for Aquariums & Ponds,Brahmi (Bacopa) — hardy aquarium herb that oxygenates water and provides natural cover. Great for planted tanks and aquatic gardens.,brahmi bacopa aquarium plant,bacopa aquarium|aquatic medicinal herb|live bacopa plants,brahmi-bacopa-aquatic,Brahmi (Bacopa) aquatic herb plant,aquatic|aquarium plants|medicinal herb|oxygenation,aquatic_plant,aquatic-plants
12,Dwarf Sagittaria (Sagittaria subulata),Aquatic Plants,Dwarf Sagittaria (Sagittaria subulata) — Aquarium Carpet Plant,Dwarf Sagittaria — compact aquarium carpet plant for vivid green foregrounds. Ideal for aquascapes and low-tech tanks.,dwarf sagittaria sagittaria subulata,aquarium carpet plant|foreground aquarium plant|live sagittaria plants,dwarf-sagittaria-sagittaria-subulata,Dwarf Sagittaria (Sagittaria subulata) aquarium carpet plant,aquatic|aquarium plants|carpet plant|foreground|low-tech,aquatic_plant,aquatic-plants
13,Duckweed (Lemna minor),Floating Plants,Duckweed (Lemna minor) — Tiny Floating Pond & Aquarium Plant,"Duckweed — tiny floating plant that reduces nutrients and controls algae. Great for ponds, shrimp tanks, and natural filtration.",duckweed lemna minor,floating pond plants|aquarium duckweed|natural algae control,duckweed-lemna-minor,Duckweed (Lemna minor) floating plant,aquatic|floating plants|algae control|pond plants|natural filtration,aquatic_plant,floating-plants
14,Greater Duckweed (Spirodela polyrhiza),Floating Plants,Greater Duckweed — Fast-Growing Floating Pond Plant,"Greater Duckweed — larger floating plant for ponds and large tanks. Excellent for shade, nutrient uptake, and natural filtration.",greater duckweed spirodela,spirodela polyrhiza|floating pond plants|pond algae control,greater-duckweed-spirodela,Greater Duckweed (Spirodela polyrhiza) floating plant,aquatic|floating plants|algae control|pond plants|shade,aquatic_plant,floating-plants
15,Water Lettuce (Pistia stratiotes),Floating Plants,Water Lettuce (Pistia) — Decorative Floating Pond Plant,Water Lettuce — rosette-shaped floating plant for natural shade and water purification in ponds and large aquaria.,water lettuce pistia,pistia stratiotes|floating pond plant|decorative pond plants,water-lettuce-pistia,Water Lettuce (Pistia stratiotes) floating plant,aquatic|floating plants|pond plants|water purification|decorative,aquatic_plant,floating-plants
16,Salvinia (Salvinia natans),Floating Plants,Salvinia Floating Fern — Pond & Aquarium Cover Plant,Salvinia — lightweight floating fern that reduces algae and adds texture to ponds and tanks. Easy to maintain and effective.,salvinia natans floating plant,salvinia fern|floating aquarium plants|pond cover plants,salvinia-natans,Salvinia (Salvinia natans) floating fern,aquatic|floating plants|fern|algae control|low-maintenance,aquatic_plant,floating-plants
17,Jade Plant (Crassula ovata),Succulents,Jade Plant (Crassula ovata) — Hardy Indoor Succulent,"Jade Plant — low-maintenance succulent with glossy leaves. Perfect for indoor decor, offices, and beginner plant parents.",jade plant crassula ovata,indoor succulents|low maintenance plants|jade succulent care,jade-plant-crassula-ovata,Jade Plant (Crassula ovata) succulent,succulent|indoor plant|low-maintenance|beginner-friendly|decor,indoor_plant,succulents
18,Euphorbia lactea,Succulents,Euphorbia lactea — Sculptural Cacti-Like Succulent,"Euphorbia lactea — striking, sculptural succulent ideal for modern décor. Low-care and visually dramatic for indoor spaces.",euphorbia lactea succulent,sculptural succulent|indoor cactus lookalike|low-care succulent,euphorbia-lactea,Euphorbia lactea sculptural succulent,succulent|indoor plant|sculptural|modern decor|low-care,indoor_plant,succulents
19,Haworthia,Succulents,Haworthia — Compact Low-Light Succulent for Desks,"Haworthia — compact succulent that thrives in low light. Ideal for desks, small pots, and beginner-friendly indoor gardens.",haworthia succulent,low light succulents|desk plants|haworthia care,haworthia-succulent,Haworthia succulent for low light,succulent|indoor plant|low-light|desk plant|compact|beginner-friendly,indoor_plant,succulents
20,Aloe Vera,Succulents,Aloe Vera Plant — Medicinal Succulent for Home & Skin Care,Aloe Vera — versatile succulent known for soothing gel. Easy to grow indoors and perfect for first-aid plant care and décor.,aloe vera plant,aloe vera for skin|medicinal plant aloe|indoor aloe care,aloe-vera-plant,Aloe Vera plant for home and skin care,succulent|indoor plant|medicinal|low-maintenance|multipurpose,indoor_plant,succulents
21,Ramshorn Snails,Aquatic Snails,Ramshorn Snails — Natural Aquarium Cleaners,"Ramshorn snails help clean glass, plants, and substrate. Gentle and effective algae-eaters for community aquariums.",ramshorn snails aquarium,aquarium cleaner snails|live snails for tanks|ramshorn snail care,ramshorn-snails,Ramshorn snails for aquarium cleaning,aquatic|snails|aquarium accessories|algae control|cleanup crew,aquatic_accessory,aquatic-snails
22,Malaysian Trumpet Snail,Aquatic Snails,Malaysian Trumpet Snail (MTS) — Substrate Aerator for Aquariums,Malaysian Trumpet Snail — burrowing snail that aerates substrate and helps break down detritus. Great for planted tanks.,malaysian trumpet snail,MTS aquarium|substrate aeration snails|burrowing aquarium snails,malaysian-trumpet-snail,Malaysian Trumpet Snail (MTS) in aquarium substrate,aquatic|snails|aquarium accessories|substrate aeration|detritus control,aquatic_accessory,aquatic-snails
23,Ayurvedic Hair Oil (200ml),Herbal Products,Ayurvedic Herbal Hair Oil 200ml — Natural Hair Nourish Blend,"Ayurvedic hair oil infused with traditional herbs to nourish scalp and hair. 100% natural, chemical-free blend for regular hair care.",ayurvedic hair oil 200ml,herbal hair oil|natural hair oil India|bhringraj hair oil,ayurvedic-hair-oil-200ml,Ayurvedic herbal hair oil 200ml bottle,herbal|hair care|ayurvedic|natural|wellness,herbal_product,herbal-products
24,Face Pack Herbal Mix,Herbal Products,Herbal Face Pack Mix — Natural Skin Care Blend,"Herbal face pack mix with natural powders and botanicals to cleanse, brighten and refresh skin. Suitable for regular skin care routines.",herbal face pack mix,natural face pack|ayurvedic face pack|herbal skincare mix,herbal-face-pack-mix,Herbal face pack mix natural skincare,herbal|skincare|ayurvedic|natural|wellness,herbal_product,herbal-products
25,Moringa Powder Tablets,Herbal Products,Moringa Powder Tablets — Organic Moringa Supplements,Organic moringa tablets made from pure moringa leaf powder. Natural source of vitamins & minerals for daily wellness.,moringa powder tablets,moringa tablets India|moringa supplements organic|nutrient tablets moringa,moringa-powder-tablets,Organic moringa powder tablets,herbal|supplements|organic|wellness|natural,herbal_product,herbal-products
26,"Ashwagandha, Triphala & Moringa Tablets Combo",Herbal Products,Ashwagandha + Triphala + Moringa Tablets — Herbal Wellness Combo,"Ayurvedic tablet combo of ashwagandha, triphala and moringa — a natural support pack for daily wellness and vitality.",ashwagandha triphala moringa tablets,ayurvedic tablet combo|herbal wellness tablets|organic herbal supplements,ashwagandha-triphala-moringa-tablets,Ashwagandha Triphala Moringa herbal tablets combo,herbal|supplements|ayurvedic|wellness|combo,herbal_product,herbal-products
27,Mini Cactus Sets,Plant Decor,Mini Cactus Sets — Handcrafted Desk & Gift Succulents,"Charming mini cactus sets perfect for desks and gifts. Handmade, low-maintenance and ideal for beginners and décor lovers.",mini cactus sets,small cactus gift set|desk succulents|handmade cactus decor,mini-cactus-sets,Mini cactus sets for desk decor,succulent|decor|gift|handmade|mini,decor_plant,plant-decor
28,eBooks (Plant Care & Gardening Guides),Digital Products,Plant Care eBooks — Gardening Guides & How-To Manuals,"Downloadable eBooks covering plant care, propagation, aquascaping, and sustainable gardening — perfect for beginners and enthusiasts.",plant care ebooks,gardening ebooks|download plant guide|indoor gardening PDF,plant-care-ebooks,Plant care ebooks and gardening guides PDF,digital|guides|educational|beginner-friendly|downloadable,digital_product,digital-products
29,Plant Guides (Individual Guides),Digital Products,Plant Guides — Step-by-Step Care & Propagation Manuals,"Practical plant guides with step-by-step instructions for propagation, watering, light, and soil — ideal for new plant parents.",plant guides care propagation,plant care guide PDF|how to propagate plants|plant care manual,plant-guides-care,Step-by-step plant care and propagation guide,digital|guides|educational|beginner-friendly|downloadable,digital_product,digital-products
